Name,Count,Ave_score,Ave_score_save,Win_count,Win_rate,Save_count,Save_rate
Ethereal Blades+,0,0,0,0,0,0,0
Storyweaver Crest,0,0,0,0,0,0,0
Storied Champion,0,0,0,0,0,0,0
Sage Crown,0,0,0,0,0,0,0
Drop Blossom!,0,0,0,0,0,0,0
Heavenly Crest,0,0,0,0,0,0,0
Duelist Crest,0,0,0,0,0,0,0
Extended Duel,0,0,0,0,0,0,0
Fated Crown,0,0,0,0,0,0,0
Spirit Guardians,0,0,0,0,0,0,0
Ethereal Blades,0,0,0,0,0,0,0
At What Cost,0,0,0,0,0,0,0
Arcanist Crown,0,0,0,0,0,0,0
Behemoth Crown,0,0,0,0,0,0,0
Divine Rolls,0,0,0,0,0,0,0
Inkshadow Crest,0,0,0,0,0,0,0
Warden Crown,0,0,0,0,0,0,0
Mythic Crown,0,0,0,0,0,0,0
Lucky Paws,0,0,0,0,0,0,0
Storyweaver Crown,0,0,0,0,0,0,0
Bruiser Crest,0,0,0,0,0,0,0
Wrath of the Moon,0,0,0,0,0,0,0
Drop Blossom!+,0,0,0,0,0,0,0
Fortune Crest,0,0,0,0,0,0,0
Umbral Crest,0,0,0,0,0,0,0
Mana Shield,0,0,0,0,0,0,0
Midnight Siphon+,0,0,0,0,0,0,0
Invoker Crown,0,0,0,0,0,0,0
Boiling Point,0,0,0,0,0,0,0
Enter the Dragon,0,0,0,0,0,0,0
Full Sleeve,0,0,0,0,0,0,0
Exalted Crown,0,0,0,0,0,0,0
Dryad Crest,0,0,0,0,0,0,0
Well Fed,0,0,0,0,0,0,0
Dragonlord Crest,0,0,0,0,0,0,0
Haunted House,0,0,0,0,0,0,0
Call to Adventure,0,0,0,0,0,0,0
Fortune Crown,0,0,0,0,0,0,0
Ghostly Crest,0,0,0,0,0,0,0
Arcanist Crest,0,0,0,0,0,0,0
Sage Crest,0,0,0,0,0,0,0
Altruist Crest,0,0,0,0,0,0,0
Fated Crest,0,0,0,0,0,0,0
Mind Over Matter,0,0,0,0,0,0,0
Porcelain Crown,0,0,0,0,0,0,0
Reaper Crest,0,0,0,0,0,0,0
Sniper Crest,0,0,0,0,0,0,0
Inkshadow Crown,0,0,0,0,0,0,0
Warden Crest,0,0,0,0,0,0,0
Invoker Crest,0,0,0,0,0,0,0
Dryad Crown,0,0,0,0,0,0,0
Long Shot,0,0,0,0,0,0,0
Venerable Piggy Bank,0,0,0,0,0,0,0
My Heart Will Go On,0,0,0,0,0,0,0
Duelist Crown,0,0,0,0,0,0,0
The Road Less Traveled,0,0,0,0,0,0,0
Grim Harvest,0,0,0,0,0,0,0
Umbral Crown,0,0,0,0,0,0,0
Mulched,0,0,0,0,0,0,0
Heavenly Crown,0,0,0,0,0,0,0
Ghostly Crown,0,0,0,0,0,0,0
Reaper Crown,0,0,0,0,0,0,0
Sniper Crown,0,0,0,0,0,0,0
It's Going to be Epic,0,0,0,0,0,0,0
Altruist Crown,0,0,0,0,0,0,0
Elite Vanguard,0,0,0,0,0,0,0
Tons of Stats!,0,0,0,0,0,0,0
Tons of Stats!,0,0,0,0,0,0,0
Tons of Stats!,0,0,0,0,0,0,0
Bulwark,0,0,0,0,0,0,0
Swift Strike,0,0,0,0,0,0,0
Unhindered,0,0,0,0,0,0,0
Tons of Stats!,0,0,0,0,0,0,0
Tons of Stats!,0,0,0,0,0,0,0
Cybernetic Mass,0,0,0,0,0,0,0
Tons of Stats!,0,0,0,0,0,0,0
Tons of Stats!,0,0,0,0,0,0,0
Splash Zone,0,0,0,0,0,0,0
Extended Play,0,0,0,0,0,0,0
Party Starters,0,0,0,0,0,0,0
The Ol' Razzle Dazzle,0,0,0,0,0,0,0
Mesmerizing Performance,0,0,0,0,0,0,0
The Drop,0,0,0,0,0,0,0
Live for Danger,0,0,0,0,0,0,0
"That's Jazz, Baby!",0,0,0,0,0,0,0
Give Me Your Energy!,0,0,0,0,0,0,0
Bigger Shot,0,0,0,0,0,0,0
Emotional Connection,0,0,0,0,0,0,0
Insert Coin,0,0,0,0,0,0,0
Encore!,0,0,0,0,0,0,0
Expose Weakness,0,0,0,0,0,0,0
Share the Spotlight,0,0,0,0,0,0,0
Heartthrobs,0,0,0,0,0,0,0
Do It for the Fans,0,0,0,0,0,0,0
Heroic Presence,0,0,0,0,0,0,0
Remember Your Roots,0,0,0,0,0,0,0
Cold Steel,0,0,0,0,0,0,0
Ramping Rhythm,0,0,0,0,0,0,0
Sample Synthesis,0,0,0,0,0,0,0
Raise the Tempo,0,0,0,0,0,0,0
Bounty Hunters,0,0,0,0,0,0,0
Hologram,0,0,0,0,0,0,0
Blinged Out,0,0,0,0,0,0,0
Talent Search,0,0,0,0,0,0,0
Submit to the Pit,0,0,0,0,0,0,0
Too Big to Fail,0,0,0,0,0,0,0
Double the Funk,0,0,0,0,0,0,0
Metalheads,0,0,0,0,0,0,0
