apiName,associatedTraits,composition,desc,effects,name
TFT9_Augment_ArmorcladEmblem,['TFT9_Armorclad'],[],Gain an Juggernaut Emblem and a Sett.,{},Juggernaut Crest
TFT9_Augment_ChallengerEmblem,['TFT9_Challenger'],[],Gain a Challenger Emblem and a Warwick.,{},Challenger Crest
TFT9_Augment_ZaunEmblem,['TFT9_Zaun'],[],Gain a Zaun Emblem and a Warwick.,{},Zaun Crest
TFT9_Augment_SlayerSlayersResolve,['TFT9_Slayer'],[],"When your Slayers take or deal damage, they gain @BonusResistances@ stacking Armor and Magic Resistance for the rest of combat (max: @StackCap@ stacks). Gain 2 Slayers.","{'BonusResistances': 2.0, 'StackCap': 25.0}",Slayer's Resolve
TFT9_Augment_BastionTrait,['TFT9_Bastion'],[],Your team counts as having 1 additional Bastion. Gain a Kassadin.,{},Bastion Heart
TFT9_Augment_ExecutionerPlus,[],[],Your units execute enemies below @Healththreshold@% Health on hit. Executions have a @GoldChance@% chance to generate @goldgenerated@ gold.,"{'GoldChance': 20.0, 'HealthThreshold': 8.0, 'goldgenerated': 1.0}",Executioner II
TFT9_Augment_SlayerEmblem,['TFT9_Slayer'],[],Gain a Slayer Emblem and a Qiyana.,{},Slayer Crest
TFT9_Augment_DemaciaPetriciteShackles,['TFT9_Demacia'],[],"Your Demacians deal @BaseDamage*100@% more damage, increased to @BonusDamage*100@% against Noxians and enemies with @ManaThreshold@ or more maximum Mana. Gain 2 Demacians.","{'BaseDamage': 0.11999999731779099, 'BonusDamage': 0.18000000715255737, 'ManaThreshold': 100.0}",Petricite Shackles
TFT9_Augment_StrategistEmblem,['TFT9_Strategist'],[],Gain a Strategist Emblem and a Swain.,{},Strategist Crest
TFT9_Augment_FreljordGlacialBreeze,['TFT9_Freljord'],[],"When your Freljordian Storm strikes, your units are shielded for @ShieldRatio*100@% of their maximum Health and gain @BonusAS*100@% Attack Speed. Gain 2 Freljord units.","{'BonusAS': 0.07999999821186066, 'ShieldRatio': 0.15000000596046448}",Glacial Breeze
TFT9_Augment_PiltoverShimmeringInventors,['TFT9_Piltover'],[],"Your Piltover units deal @BonusDamageDealt*100@% more damage for every @GoldThreshold@ gold you have (max: @DamageCap*100@%), and have a @GoldChance*100@% chance to drop @Gold@ gold at round start. Gain an Ekko.","{'BonusDamageDealt': 0.07000000029802322, 'DamageCap': 0.3499999940395355, 'Gold': 1.0, 'GoldChance': 0.33000001311302185, 'GoldThreshold': 10.0}",Shimmering Inventors
TFT9_Augment_BastionMorningLight,['TFT9_Bastion'],[],"When your Bastion units drop below @HealthThreshold*100@% Health, they heal for @HealRatio*100@% of their maximum Health over @Duration@ seconds. Gain 2 Bastion units.","{'Duration': 4.0, 'HealRatio': 0.4000000059604645, 'HealthThreshold': 0.5}",Morning Light
TFT9_Augment_NoxusTrait,['TFT9_Noxus'],[],Your team counts as having 1 additional Noxus. Gain a Swain.,{},Noxus Heart
TFT9_Augment_Commander_Experience1Plus,[],[],Gain @Experience@ XP.,{'Experience': 20.0},Knowledge Download 1+
TFT9_Augment_KassadinCarry,"['TFT9_Preserver', 'TFT9_Void']",[],"Gain a Kassadin. Before casting, your strongest Kassadin gains @AP@ Ability Power and blinks to the furthest enemy within @HexRadius@ hexes, but his ability no longer disarms or shields. His Mana cost is reduced by @ManaReduction@.","{'AP': 38.0, 'HexRadius': 3.0, 'ManaReduction': 30.0}",Riftwalk
TFT9_Augment_LongDistanceRelationship1,[],[],"Combat start: Your 2 units furthest from each other form a bond, sharing @PercentShare*100@% of their Armor, Magic Resist, Attack Damage, and Ability Power with each other.",{'PercentShare': 0.20000000298023224},Long Distance Pals
TFT9_Augment_MoneyLaundering,[],[],You earn no interest but at the start of every player combat round gain @Gold@ gold per @UnitsPerGold@ units on your bench.,"{'Gold': 1.0, 'UnitsPerGold': 2.0}",Money Laundering
TFT9_Augment_IxtalTrait,['Set9_Ixtal'],[],Your team counts as having 1 additional Ixtal. Gain a Qiyana.,{},Ixtal Heart
TFT9_Augment_PreserverEmblem2,['TFT9_Preserver'],[],"Gain a Invoker Emblem, a Jeweled Gauntlet, and a Karma.",{},Invoker Crown
TFT9_Augment_EagleEye,[],[],"You know who your next opponent will be. Your units gain @ArmorAmount@ Armor or @MRAmount@ Magic Resist, and you can swap between the two during the planning phase.","{'ArmorAmount': 40.0, 'MRAmount': 40.0}",Eagle Eye
TFT9_Augment_LevelUpSilver,[],[],"Gain [newvarplz] XP now. When you buy XP, gain @XP@ more for free.",{'XP': 1.0},Level Up?
TFT9_Augment_BrokenTradeSector,[],[],"Gain a free Shop reroll now, and every @RoundsPerRefresh@ player combats.",{'RoundsPerRefresh': 2.0},Broken Trade Sector
TFT9_Augment_NoxusTotalDomination,['TFT9_Noxus'],[],"Noxus units' attacks and Abilities execute enemies below @BaseExecuteThreshold@% Health, increased by @StackingExecuteThreshold@% for each player you've Conquered. Gain 2 Noxians.","{'BaseExecuteThreshold': 5.0, 'StackingExecuteThreshold': 1.0}",Total Domination
TFT9_Augment_TargonEmblem,['TFT9_Targon'],[],Gain a Targon Emblem and a Soraka.,{},Targon Crest
TFT9_Augment_AllNatural3,[],[],Champions that aren't holding items gain @health@ Health and heal for @Healing*100@% of their max Health each second.,"{'Healing': 0.09000000357627869, 'Health': 250.0}",All Natural III
TFT9_Augment_IoniaEmblem2,['TFT9_Ionia'],[],"Gain an Ionia Emblem, a Guardbreaker, and a Karma.",{},Ionia Crown
TFT9_Augment_Execute,[],[],"If your units target is below @hppercent@% Health, they deal @damageamp@% increased damage","{'DamageAmp': 30.0, 'HPPercent': 50.0}",Execute
TFT9_Augment_DemaciaEmblem,['TFT9_Demacia'],[],Gain a Demacia Emblem and a Galio.,{},Demacia Crest
TFT9_Augment_IoniaEmblem,['TFT9_Ionia'],[],Gain a Ionia Emblem and a Sett.,{},Ionia Crest
TFT9_Augment_IxtalEmblem2,['Set9_Ixtal'],[],"Gain a Ixtal Emblem, a Crownguard, and a Neeko.",{},Ixtal Crown
TFT9_Augment_MagicalJourneyPlus,[],[],"After each carousel, randomly gain @XP@ XP or @Rerolls@ free rerolls. Then, randomly gain one of these effects again.","{'Rerolls': 3.0, 'XP': 4.0}",Magical Journey+
TFT9_Augment_TargonStaffOfFlowingWaters,['TFT9_Targon'],[],"While you have the Targon trait activated, your units gain @BonusAS*100@% Attack Speed for @Duration@ seconds after being healed or shielded. Gain 2 Targonians.","{'BonusAS': 0.4000000059604645, 'Duration': 4.0}",Stellacorn's Blessing
TFT9_Augment_ChallengerForAllUnits,['TFT9_Challenger'],[],The Challenger trait grants its bonuses to all of your Champions. This does not increase your number of Challengers. Gain a Warwick.,{},Challenger Unity
TFT9_Augment_Conditioning1,[],[],Your units permanently gain @healthperstack@ maximum Health every @secondspertrigger@ seconds in combat. Units start with @StartingHealth@ bonus maximum Health.,"{'HealthPerStack': 5.0, 'StartingHealth': 50.0, 'secondspertrigger': 5.0}",Conditioning I
TFT9_Augment_BilgewaterRisingInfamy2,['Set9b_Bilgewater'],[],Round start: Get a level @TFTUnitProperty.trait:TFT9_BilgewaterRisingInfamyAugment_Level2@ treasure chest. Your cannon barrages permanently improve future chests. Gain 2 Bilgerats. (Next level: @TFTUnitProperty.trait:TFT9_BilgewaterRisingInfamyAugment_Cannons2@ Barrages).,"{'{4218018d}': 90.0, '{4e5d5b1a}': 100.0, '{6440a596}': 90.0, '{723ebcb7}': 100.0, '{872f5162}': 5.0, '{a4ec31c7}': 100.0, '{dce94460}': 65.0, '{eea984d4}': 90.0, '{fbf16f33}': 90.0, '{fdccad91}': 100.0}",Rising Infamy+
TFT9_Augment_BilgewaterRisingInfamy3,['Set9b_Bilgewater'],[],Round start: Get a level @TFTUnitProperty.trait:TFT9_BilgewaterRisingInfamyAugment_Level3@ treasure chest. Your cannon barrages permanently improve future chests. Gain 2 Bilgerats. (Next level: @TFTUnitProperty.trait:TFT9_BilgewaterRisingInfamyAugment_Cannons3@ Barrages).,"{'{4218018d}': 90.0, '{4e5d5b1a}': 100.0, '{6440a596}': 90.0, '{723ebcb7}': 100.0, '{872f5162}': 5.0, '{a4ec31c7}': 100.0, '{dce94460}': 65.0, '{eea984d4}': 90.0, '{fbf16f33}': 90.0, '{fdccad91}': 100.0}",Rising Infamy++
TFT9_Augment_ShurimaEmblem2,['TFT9_Shurima'],[],"Gain a Shurima Emblem, a Protector's Vow, and a Naafiri.",{},Shurima Crown
TFT9_Augment_Conditioning3,[],[],Your units permanently gain @healthperstack@ maximum Health every @secondspertrigger@ seconds in combat. Units start with @StartingHealth@ bonus maximum Health.,"{'HealthPerStack': 12.0, 'StartingHealth': 100.0, 'secondspertrigger': 5.0}",Conditioning III
TFT9_Augment_Conditioning2,[],[],Your units permanently gain @healthperstack@ maximum Health every @secondspertrigger@ seconds in combat. Units start with @StartingHealth@ bonus maximum Health.,"{'HealthPerStack': 8.0, 'StartingHealth': 75.0, 'secondspertrigger': 5.0}",Conditioning II
TFT9_Augment_VoidEmblem,['TFT9_Void'],[],Gain a Void Emblem and a Kassadin.,{},Void Crest
TFT9_Augment_ShurimaShurimasLegacy,['TFT9_Shurima'],[],"After @TooltipTimer@ seconds of combat, the Sun Disc attacks enemies for @MinTurretDamage@-@MaxTurretDamage@ magic damage every @AttackCadence@ seconds (based on current Stage). Gain 2 Shurimans.","{'AttackCadence': 2.0, 'MaxTurretDamage': 725.0, 'MinTurretDamage': 145.0, 'TooltipTimer': 8.0}",Shurima's Legacy
TFT9_Augment_GuinsoosLargeBead,[],[],"Your attacks cannot critically strike, but deal magic damage equal to @CritConversion*100@% of your critical strike chance on hit.",{'CritConversion': 1.5},Guinsoo's Large Bead
TFT9_Augment_PumpingUp2HR,[],[],"Your team gains @BaseAS@% Attack Speed now. Each round after, they gain @IncreasePerRound@% more. (current Attack Speed: @TFTUnitProperty.item:TFT9_PumpingUp2Rounds@%)","{'BaseAS': 5.0, 'IncreasePerRound': 2.0}",Pumping Up II
TFT9_Augment_RogueTrait,['TFT9_Rogue'],[],Your team counts as having 1 additional Rogue. Gain a Qiyana.,{},Rogue Heart
TFT9_Augment_DemaciaEmblem2,['TFT9_Demacia'],[],"Gain a Demacia Emblem, a Recurve Bow, and a Quinn.",{},Demacia Crown
TFT9_Augment_MulticasterPracticeMakesPerfect,['TFT9_Multicaster'],[],"Each time your Multicasters cast their Ability, they gain @StackingAP@ Ability power (max: @MaxAP@) until the end of combat. Gain 2 Multicasters.","{'MaxAP': 90.0, 'StackingAP': 9.0}",Perfected Repetition
TFT9_Augment_PiltoverEmblem2,['TFT9_Piltover'],[],"Gain a Piltover Emblem, a Giant Slayer, and a Jayce.",{},Piltover Crown
TFT9_Augment_SorcererTrait,['TFT9_Sorcerer'],[],Your team counts as having 1 additional Sorcerer. Gain a Swain.,{},Sorcerer Heart
TFT9_Augment_Edgy3,[],[],Units that start combat on the edge of your board gain @AD*100@% Attack Damage and @AS*100@% Attack Speed.,"{'AD': 0.4000000059604645, 'AS': 0.4000000059604645}",Edgy III
TFT9_Augment_ACutAboveHR,[],[],Gain a Deathblade. Champions holding this item have a @ProcChance*100@% chance to drop @Gold@ gold on kill.,"{'Gold': 2.0, 'ProcChance': 0.25}",A Cut Above
TFT9_Augment_Edgy2,[],[],Units that start combat on the edge of your board gain @AD*100@% Attack Damage and @AS*100@% Attack Speed.,"{'AD': 0.30000001192092896, 'AS': 0.30000001192092896}",Edgy II
TFT9_Augment_ArmyBuildingHR,[],[],Gain a Lesser Champion Duplicator. Gain another after @PlayerCombatNum@ player combats.<br><br><rules>This item allows you to copy a 3-cost or less champion.</rules>,{'PlayerCombatNum': 3.0},Team Building
TFT9_Augment_Edgy1,[],[],Units that start combat on the edge of your board gain @AD*100@% Attack Damage and @AS*100@% Attack Speed.,"{'AD': 0.20000000298023224, 'AS': 0.20000000298023224}",Edgy I
TFT9_Augment_ShadowIslesEmblem2,['TFT9_ShadowIsles'],[],"Gain a Shadow Isles Emblem, a Tear of the Goddess, and a Kalista.",{},Shadow Isles Crown
TFT9_Augment_AllThatShimmers,[],[],Open an Armory and choose 1 of @ArmoryChoiceCount@ Shimmerscale items. Shimmerscale items aid gold generation.,{'ArmoryChoiceCount': 3.0},All That Shimmers
TFT9_Augment_RogueVampiricBlades,['TFT9_Rogue'],[],Your units gain @BaselineOmnivamp*100@% Omnivamp. Your Rogues gain @RogueOmnivamp*100@% instead. Gain 2 Rogues.,"{'BaselineOmnivamp': 0.10000000149011612, 'RogueOmnivamp': 0.15000000596046448}",Vampiric Blades
TFT9_Augment_ChallengerEmblem2,['TFT9_Challenger'],[],"Gain a Challenger Emblem, a Hand of Justice, and a Naafiri.",{},Challenger Crown
TFT9_Augment_LearningPotential,[],[],"After each player combat, gain @Experience@ XP per @NumTraitsPerExp@ inactive traits on your board.<br><br><tftitemrules>Inactive Traits: @TFTUnitProperty.item:TFT9_Augment_LearningPotential_TraitNum@</tftitemrules>","{'Experience': 1.0, 'NumTraitsPerExp': 2.0}",Learning Potential
TFT9_Augment_VoidEmblem2,['TFT9_Void'],[],"Gain a Void Emblem, an Adaptive Helm, and a Rek'Sai.",{},Void Crown
TFT9_Augment_BilgewaterTrait,['Set9b_Bilgewater'],[],Your team counts as having 1 additional Bilgewater. Gain a Twisted Fate.,{},Bilgewater Heart
TFT9_Augment_GalioCarry,"['TFT9_Demacia', 'TFT9_Bastion']",[],"Gain a Galio. Your strongest Galio's ability gets larger with each cast, and enemies hit take magic damage equal to @HealthRatio*100@% of his max Health each second.","{'HealthRatio': 0.11999999731779099, '{b93c067c}': 150.0}",Winds of War
TFT9_Augment_BloodPrice3,[],[],Your team gains @AttackSpeed*100@% Attack Speed for each @Health@ Tactician Health missing.,"{'AttackSpeed': 0.05000000074505806, 'Health': 10.0}",Blood Price III
TFT9_Augment_BloodPrice2,[],[],Your team gains @AttackSpeed*100@% Attack Speed for each @Health@ Tactician Health missing.,"{'AttackSpeed': 0.03500000014901161, 'Health': 10.0}",Blood Price II
TFT9_Augment_BloodPrice1,[],[],Your units gain @AttackSpeed*100@% Attack Speed for each @Health@ Tactician Health missing.,"{'AttackSpeed': 0.02500000037252903, 'Health': 10.0}",Blood Price I
TFT9_Augment_ReturnOnInvestmentHR,[],[],"When you reroll your Shop @RollCount@ times, gain a Tactician's Crown.<br><br>(Refreshes this game: @TFTUnitProperty.item:TFT9_ReturnOnInvestmentRolls@)",{'RollCount': 28.0},Return on Investment
TFT9_Augment_LockStep,[],[],"Round start: If your last opponent was higher leveled than you, gain @Experience@ XP. Otherwise, gain @Gold@ gold.","{'Experience': 4.0, 'Gold': 2.0}",Lock Step
TFT9_Augment_PiltoverShimmeringInventorsHR,['TFT9_Piltover'],[],"Your Piltover units deal @BonusDamageDealt*100@% more damage for every @GoldThreshold@ gold you have (max: @DamageCap*100@%), and have a @GoldChance*100@% chance to drop @Gold@ gold at round start. Gain an Ekko.","{'BonusDamageDealt': 0.07999999821186066, 'DamageCap': 0.4000000059604645, 'Gold': 2.0, 'GoldChance': 0.33000001311302185, 'GoldThreshold': 3.0}",Shimmering Inventors
TFT9_Augment_Jackpot,[],[],"After you reroll your Shop @RerollAmount@ times, gain a copy of each @UnitCost@-cost champion. <br><br>(Rerolls this game: @TFTUnitProperty.item:TFT9_JackpotRolls@)","{'RerollAmount': 40.0, 'UnitCost': 5.0}",Missing Link
TFT6_Augment_TheGoldenEgg,[],[],Gain a golden egg that hatches in @EggTurns@ turns for a huge amount of loot. Winning player combat speeds up the hatch timer by an extra turn.,"{'EggTurns': 11.0, '{ecb4463d}': 'null'}",The Golden Egg
TFT6_Augment_TheGoldenEggHR,[],[],Gain a golden egg that hatches in @EggTurns@ turns for a huge amount of loot. Winning player combat speeds up the hatch timer by an extra turn.,"{'EggTurns': 6.0, '{ecb4463d}': 'null'}",The Golden Egg
TFT7_Augment_LivingForgeHR,[],[],Gain an Artifact anvil now and after every @NumberOfCombats@ player combats.<br><br><rules>Artifacts are more powerful items with a unique effect.</rules>,{'Numberofcombats': 4.0},Living Forge
TFT8_Augment_SalvageBinPlusHR,[],[],"Gain 1 random completed item now, and 1 component after @NumRounds@ player combats. Selling champions breaks completed items into components (excluding Tactician's Crown).",{'NumRounds': 2.0},Salvage Bin+
TFT6_Augment_SalvageBinHR,[],[],"Gain 1 random completed item now, and 1 component after @NumRounds@ player combats. Selling champions breaks completed items into components (excluding Tactician's Crown).",{'NumRounds': 3.0},Salvage Bin
TFT9_Augment_WhatTheForge,[],[],Completed items you own (except Tactician's Crown and Emblems) are transformed into random Artifacts. Champions gain @Health@ Health per equipped Artifact.,{'Health': 110.0},What The Forge
TFT9_Augment_Dedication,[],[],"The first time you field at least @NumUnits@ distinct units of the same trait in player combat, gain an Emblem for that trait.",{'NumUnits': 4.0},Dedication
TFT9_Augment_ThreesACrowd,[],[],Your team gains @HealthPerUnit@ Health for each unique @Tier@-cost champion on your board.,"{'HealthPerUnit': 66.0, 'Tier': 3.0}",Three's a Crowd
TFT9_Augment_MoneyHealsAllWounds,[],[],"Round start: Gain @GoldPerTurn@ gold. If you have at least @GoldThreshhold@ gold, heal @Health@ player health.","{'GoldPerTurn': 3.0, 'GoldThreshhold': 40.0, 'Health': 2.0}",Wellness Trust
TFT6_Augment_TinyTitans,[],[],Increase your current and maximum player health by @heal@.,{'Heal': 30.0},Tiny Titans
TFT11_Augment_Common_EverythingMustGo,[],[],Your champions buy and sell for @cost@ gold. Gain @gold@ gold.,"{'Cost': 'null', 'Gold': 1.0}",Everything Must Go!
TFT6_Augment_RichGetRicher,[],[],Gain @Gold@ gold. Your max interest is increased to @InterestCap@.<br><br><rules>Interest is extra gold you gain per 10g saved.</rules>,"{'Gold': 12.0, 'InterestCap': 7.0}",Rich Get Richer
TFT9_Augment_CuttingCorners,[],[],Leveling up costs @Experience@ XP less.,{'Experience': 3.0},Cutting Corners
TFT9_Augment_ArmyBuilding,[],[],Gain a Lesser Champion Duplicator. Gain another after @PlayerCombatNum@ player combats.<br><br><rules>This item allows you to copy a 3-cost or less champion.</rules>,{'PlayerCombatNum': 7.0},Team Building
TFT9_Augment_TiniestTitan,[],[],Gain @Heal@ player health and @Gold@ gold after every player combat. Your Tactician also moves faster.,"{'Gold': 1.0, 'Heal': 2.0}",Tiniest Titan
TFT9_Augment_YoungAndWildAndFree,[],[],You can always move freely on Carousel rounds. Gain @Gold@ gold.,{'Gold': 2.0},Young and Wild and Free
TFT6_Augment_CyberneticImplants1,[],[],Your champions holding an item gain @HP@ Health and @AD*100@% bonus Attack Damage.,"{'AD': 0.10000000149011612, 'HP': 80.0}",Cybernetic Implants I
TFT11_Augment_BaBoom,[],[],Your champions deal @BonusDamage*100@% more damage for @Duration@ seconds on every other cast.,"{'BonusDamage': 0.8999999761581421, 'Duration': 2.0}",Ba-BOOM!
TFT6_Augment_HyperRoll,[],[],"You earn no interest, but gain @Gold@ gold at the start of every player combat round.<br><br><rules>Interest is extra gold you gain per 10g saved.</rules>",{'Gold': 3.0},Hustler
TFT10_Augment_CrownGuarded,[],[],Gain a Crownguard. Your Crownguards' start of combat effect is @effectincrease*100@% stronger.,{'effectincrease': 1.0},Crown Guarded
TFT6_Augment_CyberneticImplants3,[],[],Your champions holding an item gain @HP@ Health and @AD*100@% bonus Attack Damage.,"{'AD': 0.30000001192092896, 'HP': 200.0}",Cybernetic Implants III
TFT6_Augment_LudensEcho3,[],[],"When your units cast and deal Ability damage, the first target hit and a nearby enemy take @MagicDamage1@-@MagicDamage4@ (based on current Stage) magic damage.","{'MagicDamage1': 90.0, 'MagicDamage2': 130.0, 'MagicDamage3': 170.0, 'MagicDamage4': 210.0, '{26a9a9b1}': 1.0}",Luden's Echo III
TFT9_Augment_EnshroudingStillness,[],[],All enemies take @MaxHealthPerSecond@% of their max Health as true damage each second until they cast their Ability.<br>Gain a Shroud of Stillness.,{'MaxHealthPerSecond': 1.0},Mana Burn
TFT6_Augment_CyberneticImplants2,[],[],Your champions holding an item gain @HP@ Health and @AD*100@% bonus Attack Damage.,"{'AD': 0.20000000298023224, 'HP': 120.0}",Cybernetic Implants II
TFT6_Augment_LudensEcho2,[],[],"When your units cast and deal Ability damage, the first target hit and a nearby enemy take @MagicDamage1@-@MagicDamage4@ (based on current Stage) magic damage.","{'MagicDamage1': 50.0, 'MagicDamage2': 70.0, 'MagicDamage3': 90.0, 'MagicDamage4': 110.0, '{26a9a9b1}': 1.0}",Luden's Echo II
TFT10_Augment_CrashTestDummies,[],[],Gain @Numdummies@ Target Dummies. Combat start: Your Target Dummies launch themselves towards the largest clump of enemies and Stun them for @stun@ seconds. ,"{'NumDummies': 2.0, 'SearchRange': 3.0, 'Stun': 1.25}",Crash Test Dummies
TFT6_Augment_LudensEcho1,[],[],"When your units cast and deal Ability damage, the first target hit and a nearby enemy take @MagicDamage1@-@MagicDamage4@ (based on current Stage) magic damage.","{'MagicDamage1': 35.0, 'MagicDamage2': 50.0, 'MagicDamage3': 65.0, 'MagicDamage4': 80.0, '{26a9a9b1}': 1.0}",Luden's Echo I
TFT7_Augment_LuckyGlovesPlus,[],[],Thief's Gloves will always give your champions ideal items. Gain @NumGloves@ Sparring Gloves.,{'NumGloves': 3.0},Lucky Gloves+
TFT9_Augment_GiftsFromTheFallen,[],[],"Your team gains @AD@% Attack Damage, @ap@ Ability Power, @Armor@ Armor, and @MR@ Magic Resist. <br><br>Each time an ally dies, gain these stats again.","{'AD': 3.0, 'AP': 3.0, 'Armor': 3.0, 'MR': 3.0}",Gifts from the Fallen
TFT11_Augment_TrashToTreasure,[],[],Reforging completed items turns them into a random Artifact and does not consume the reforger. Gain a Reforger and @ComponentAnvils@ Component Anvil(s).,"{'ComponentAnvils': 2.0, 'Reforgers': 1.0}",Trash to Treasure
TFT11_Augment_TinyButDeadly,[],[],"Your team is @TooltipSizeScale*100@% smaller, but moves and attacks @AttackSpeed*100@% faster.","{'AttackSpeed': 0.30000001192092896, 'MoveSpeed': 0.75, 'TooltipSizeScale': 0.5, '{858a62b6}': 0.30000001192092896}","Tiny, but Deadly"
TFT7_Augment_UrfsGrabBag2,[],[],Gain @NumSpatulas@ Spatula and @NumComponents@ random item component(s).,"{'NumComponents': 3.0, 'NumSpatulas': 1.0}",Urf's Grab Bag II
TFT11_Augment_SharingIsCaring,[],[],Combat start: You gain @YourGold@ gold and your opponent gains @EnemyGold@ gold.,"{'EnemyGold': 1.0, 'YourGold': 1.0}",Sharing Is Caring
TFT7_Augment_LastStand,[],[],"The first time you would be eliminated, you escape death and your team permanently gains @Health@ Health, @Resists@ Armor and Magic Resist, and @Omnivamp@% Omnivamp.","{'Health': 160.0, 'Omnivamp': 16.0, 'Resists': 16.0}",Last Stand
TFT10_Augment_Scapegoat,[],[],"Gain a Training Dummy and @initialgold@ gold. If it is the first to die each player combat, gain @Gold@ gold.","{'Gold': 1.0, 'InitialGold': 4.0}",Scapegoat
TFT9_Augment_MissedConnections,[],[],Gain a copy of each 1-cost champion.,{},Missed Connections
TFT10_Augment_LuckyStreak_HR,[],[],Gain a Gambler's Blade and a Magnetic Remover.<br><br><rules>Gambler's Blade helps you gain gold.</rules>,{},Lucky Streak
TFT9_Augment_ACutAbove,[],[],Gain a Deathblade. Champions holding this item have a @ProcChance*100@% chance to drop @Gold@ gold on kill.,"{'Gold': 1.0, 'ProcChance': 0.20000000298023224}",A Cut Above
TFT11_Augment_PickOfTheLitter_Plus,[],[],"Open a special Shop with 3 free @ChampionTier@-cost champions. You can only pick 1, but you get @NumCopies@ copies of it.","{'ChampionTier': 4.0, 'NumCopies': 2.0}",Pick of the Litter+
TFT10_Augment_BlankSlate,[],[],Immediately sell your team (including bench) for @BonusGoldTOOLTIPONLY*100@% of their value. Your next @FreeRerolls@ Shop rerolls this round are free.,"{'BonusGoldTOOLTIPONLY': 2.0, 'BonusMultiplier': 1.0, 'FreeRerolls': 8.0}",Blank Slate
TFT11_Augment_ScoreboardScrapper,[],[],"Every round, if you're in the bottom @BottomHalf@, your team permanently gains @LoserBoost*100@% Attack Damage and Ability Power. If you're in the top @UpperHalf@, they have @WinningStatBoost*100@% more Health.","{'BottomHalf': 4.0, 'LoserBoost': 0.014999999664723873, 'UpperHalf': 4.0, 'WinningStatBoost': 0.10000000149011612}",Scoreboard Scrapper
TFT6_Augment_Ascension,[],[],"After @Delay@ seconds of combat, your units deal @DamageAmp@% more damage.","{'DamageAmp': 50.0, 'Delay': 15.0}",Ascension
TFT6_Augment_GrandGambler,[],[],Gain @NumDice@ Loaded Dice and @Gold@ gold.,"{'Gold': 5.0, 'NumDice': 3.0}",High Roller
TFT9_Augment_Transfusion,[],[],"Your units gain @BaseHP@ Health, plus @BonusHPPerMissingHealth@ Health per missing Tactician Health.","{'BaseHP': 20.0, 'BonusHPPerMissingHealth': 2.0}",Transfusion I
TFT9_Augment_WanderingTrainer,[],[],Gain @gold@ gold and a Training Dummy with @NumOfEmblems@ permanently attached Emblems.,"{'Gold': 6.0, 'NumOfEmblems': 3.0}",Wandering Trainer II
TFT6_Augment_ThriftShop,[],[],"When you reroll your Shop, gain @XP@ XP.",{'XP': 2.0},Wise Spending
TFT10_Augment_FullyAdapted,[],[],"Gain an Adaptive Helm. Champions holding this item gain both effects, regardless of position.",{},Fully Adapted
TFT10_Augment_BigGains,[],[],"Your team gains @StartingHealth@ bonus Health, and permanently gains @Health@ Health every @NumTakedowns@ takedowns.","{'Health': 10.0, 'NumTakedowns': 2.0, 'StartingHealth': 100.0}",Big Gains
TFT9_Augment_YouHaveMyBow,[],[],Gain a Recurve Bow. Your units gain @AS@% Attack Speed. ,{'AS': 12.0},You Have My Bow
TFT9_Augment_ImpenetrableBulwark,[],[],"Gain a Bramble Vest, a Dragon's Claw, a Giant's Belt, and a Magnetic Remover.<br><br><rules>Useful for Magic Tanks or Attack Tanks!</rules>",{},Impenetrable Bulwark
TFT7_Augment_PandorasBench,[],[],"Gain @Gold@ gold. At the start of every round, champions on the @BenchSlots@ rightmost bench slots transform into random champions of the same cost.","{'BenchSlots': 3.0, 'Gold': 2.0}",Pandora's Bench
TFT6_Augment_SlowAndSteady,[],[],"Gain @Exp@ XP now, and bonus XP equal to your level at the start of every player combat round. You can no longer use gold to level up.",{'EXP': 3.0},March of Progress
TFT6_Augment_MakeshiftArmor1,[],[],Your units without items equipped gain @Resists@ Armor and Magic Resist.,{'Resists': 30.0},Makeshift Armor I
TFT6_Augment_MakeshiftArmor2,[],[],Your units without items equipped gain @Resists@ Armor and Magic Resist.,{'Resists': 45.0},Makeshift Armor II
TFT7_Augment_TomeOfTraits2,[],[],Gain @NumTomes@ Tome of Traits and @Gold@ gold.,"{'Gold': 5.0, 'NumTomes': 2.0}",Ancient Archives II
TFT9_Augment_LesserJeweledLotus,[],[],Combat start: Your strongest unit gains @CritChance@% Critical Strike Chance and their abilities can critically strike.,{'CritChance': 40.0},Jeweled Lotus I
TFT6_Augment_MakeshiftArmor3,[],[],Your units without items equipped gain @Resists@ Armor and Magic Resist.,{'Resists': 65.0},Makeshift Armor III
TFT10_Augment_Stimpack,[],[],Gain @NumComponents@ components after you lose @HealthThreshold@ player health.<br><br>(Health lost this game: @TFTUnitProperty.item:TFT10_Augment_Stimpack_HealthLost@),"{'HealthThreshold': 50.0, 'NumComponents': 4.0}",Stimpack
TFT6_Augment_WindfallPlus,[],[],Gain @AugmentGold@ gold.,{'AugmentGold': 35.0},Windfall+
TFT6_Augment_TargetDummies,[],[],Gain @NumDummies@ Target Dummies.,{'NumDummies': 2.0},Phony Frontline
